pair,matrix,ranks,cuda_median_solver_s,cuda_min_solver_s,cuda_max_solver_s,cuda_median_iteration_us,cuda_median_iterations,cuda_median_compute_s,cuda_n_trials,cuda_n_jobs,cuda_n_attempts,sycl_median_solver_s,sycl_min_solver_s,sycl_max_solver_s,sycl_median_iteration_us,sycl_median_iterations,sycl_median_compute_s,sycl_n_trials,sycl_n_jobs,sycl_n_attempts,time_ratio,iteration_ratio,compute_ratio
single,Bump_2911,1,38.98112,38.955687,39.006492,1520.6803464149175,25634.0,38.502642,27,9,27,50.9888,50.9536,51.0243,2024.5701806630927,25185.0,,9,1,9,1.308038352925724,1.3313581552073857,
single,Queen_4147,1,88.8288795,88.802312,88.86552,3437.7831765935216,25839.0,88.34273200000001,36,12,36,118.051,118.032,118.076,4535.538650683879,26028.0,,9,1,9,1.3289709457609449,1.3193207417979502,
mpi,Bump_2911,2,22.047493,21.619598,22.434733,866.0387183941325,25471.0,19.857904,9,3,9,28.688627,28.664419,29.126813,1136.1832475247525,25250.0,26.396539999999998,9,1,9,1.3012194629112708,1.3119312374757797,1.3292712060648493
mpi,Bump_2911,4,12.505354,12.261094,12.614819,490.6347445711608,25473.0,10.220040000000001,9,3,9,17.23372,17.20687,17.681944,677.452730060144,25439.0,13.966744,9,1,9,1.3781073290688133,1.380767949184421,1.3666036532146644
mpi,Bump_2911,8,13.542155,8.229548,13.985969,536.2201126560838,25478.0,7.643837,9,3,9,12.850802,12.820208,13.384901,499.40937354267055,25732.0,8.290966000000001,9,1,9,0.9489480810107402,0.9313514389994122,1.0846602301959083
mpi,Bump_2911,16,20.506626,9.387947,188.21972,801.218361404061,25494.0,9.563791,9,3,9,13.671048,13.396305,13.882091,537.4050866779355,25439.0,5.231534,9,1,9,0.6666649111365273,0.6707348615128874,0.5470146723197945
mpi,Bump_2911,32,86.604721,12.549331,177.180182,3471.5701515166215,25514.5,22.248606000000002,8,3,8,17.592856,16.82756,18.716092,687.7851362445756,25579.0,3.892303,9,1,9,0.20313968796227636,0.19811932532721643,0.17494592694931088
mpi,Queen_4147,2,48.558554,47.9752,49.103053,1840.951650038373,26402.0,46.297083,9,3,9,63.288859,63.272145,63.711208,2386.907750330002,26515.0,60.790284,9,1,9,1.3033513930418934,1.296561889759706,1.3130478220409696
mpi,Queen_4147,4,25.861164,25.22737,28.633377,981.3861261536114,26325.0,23.394996,9,3,9,34.078212,34.052147,34.533199,1309.2401552114948,26029.0,30.567273,9,1,9,1.3177369742522032,1.334072410767468,1.3065731235859157
mpi,Queen_4147,8,19.511867000000002,15.395707,131.382215,739.0439898827041,26291.0,12.564570499999999,8,3,8,20.782402,20.732861,21.212811,782.7941542054315,26549.0,16.518843,9,1,9,1.0651160137571662,1.0591983223213426,1.3147160899769716
mpi,Queen_4147,16,163.22419,10.378728,184.14936,6128.414432680032,26354.0,79.47413,9,3,9,15.419054,15.414827,15.894276,586.811310701781,26276.0,9.276522,3,1,3,0.09446549558616281,0.09575255021471535,0.11672379427116723
