matrix,backend,nodes,ranks,job,trial,source,status,solver_s,timer,iterations,relative_residual,tolerance,error_norm,iteration_us,gemv_s,dot_s,nrm2_s,axpy_s,copy_s,allreduce_s,haloexchange_s,pack_s,host_sync_s,other_s
Bump_2911,acg-sycl-single,1,1,58371381,1,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-1-stdout.txt,valid,50.9846,loop,25185.0,9.93181e-07,1e-06,0.144515,2024.4034147309906,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,2,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-2-stdout.txt,valid,50.9931,loop,25185.0,9.93181e-07,1e-06,0.144515,2024.7409172126263,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,3,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-3-stdout.txt,valid,51.0243,loop,25185.0,9.93181e-07,1e-06,0.144515,2025.9797498511016,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,4,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-4-stdout.txt,valid,50.9888,loop,25185.0,9.93181e-07,1e-06,0.144515,2024.5701806630927,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,5,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-5-stdout.txt,valid,51.0063,loop,25185.0,9.93181e-07,1e-06,0.144515,2025.2650387135202,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,6,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-6-stdout.txt,valid,50.9536,loop,25185.0,9.93181e-07,1e-06,0.144515,2023.1725233273773,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,7,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-7-stdout.txt,valid,50.9975,loop,25185.0,9.93181e-07,1e-06,0.144515,2024.915624379591,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,8,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-8-stdout.txt,valid,50.9788,loop,25185.0,9.93181e-07,1e-06,0.144515,2024.173118919992,,,,,,,,,,
Bump_2911,acg-sycl-single,1,1,58371381,9,sycl/acg-sycl-single/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0001-procs-58371381-9-stdout.txt,valid,50.9609,loop,25185.0,9.93181e-07,1e-06,0.144515,2023.462378399841,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,1,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-1-stdout.txt,valid,118.032,loop,26028.0,9.54679e-07,1e-06,0.190184,4534.808667588751,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,2,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-2-stdout.txt,valid,118.052,loop,26028.0,9.54679e-07,1e-06,0.190184,4535.577070846781,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,3,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-3-stdout.txt,valid,118.049,loop,26028.0,9.54679e-07,1e-06,0.190184,4535.461810358076,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,4,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-4-stdout.txt,valid,118.051,loop,26028.0,9.54679e-07,1e-06,0.190184,4535.538650683879,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,5,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-5-stdout.txt,valid,118.035,loop,26028.0,9.54679e-07,1e-06,0.190184,4534.923928077455,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,6,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-6-stdout.txt,valid,118.059,loop,26028.0,9.54679e-07,1e-06,0.190184,4535.846011987091,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,7,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-7-stdout.txt,valid,118.032,loop,26028.0,9.54679e-07,1e-06,0.190184,4534.808667588751,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,8,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-8-stdout.txt,valid,118.076,loop,26028.0,9.54679e-07,1e-06,0.190184,4536.499154756416,,,,,,,,,,
Queen_4147,acg-sycl-single,1,1,58371387,9,sycl/acg-sycl-single/suitesparse/Queen_4147/Queen_4147-rtol-1e-6-001-nodes-0001-procs-58371387-9-stdout.txt,valid,118.062,loop,26028.0,9.54679e-07,1e-06,0.190184,4535.961272475795,,,,,,,,,,
Bump_2911,acg-sycl-mpi,1,2,58371382,1,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-1-stdout.txt,valid,29.126813,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1153.5371485148514,22.227803,0.90768,0.675012,2.586153,0.0,0.982241,0.384683,0.334946,0.509292,0.519004
Bump_2911,acg-sycl-mpi,1,2,58371382,2,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-2-stdout.txt,valid,28.664419,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1135.224514851485,22.209244,0.911805,0.672817,2.584613,0.0,0.974228,0.376479,0.33536,0.508533,0.091338
Bump_2911,acg-sycl-mpi,1,2,58371382,3,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-3-stdout.txt,valid,28.67229,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1135.5362376237624,22.212815,0.910296,0.673262,2.586992,0.0,0.983701,0.374659,0.332684,0.508905,0.088975
Bump_2911,acg-sycl-mpi,1,2,58371382,4,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-4-stdout.txt,valid,28.684136,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1136.0053861386139,22.212384,0.91231,0.67377,2.585198,0.0,0.983057,0.376733,0.336956,0.514641,0.089088
Bump_2911,acg-sycl-mpi,1,2,58371382,5,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-5-stdout.txt,valid,28.688627,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1136.1832475247525,22.216628,0.916728,0.676951,2.591862,0.0,0.9785,0.373537,0.336566,0.508216,0.08964
Bump_2911,acg-sycl-mpi,1,2,58371382,6,sycl/acg-sycl-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-58371382-6-stdout.txt,valid,28.686543,cuda_compatible,25250.0,9.50445e-07,1e-06,0.14451,1136.100712871287,22.208259,0.910892,0.671509,2.586037,0.0,0.984695,0.389932,0.333445,0.51027,0.091503
