matrix,backend,nodes,ranks,job,trial,source,status,solver_s,iterations,relative_residual,tolerance,error_norm,rows,full_nnz,gflops_total,iteration_us,allreduce_us,allreduce_calls,gemv_s,dot_s,nrm2_s,axpy_s,copy_s,allreduce_s,haloexchange_s,other_s
Bump_2911,acg-cg-mpi,1,2,55407806,1,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407806-1-stderr.txt,valid,22.434733,25905.0,9.99175614072401e-07,1e-06,0.144347377923243,2911419,127729899,328.6043315860278,866.0387183941325,26.539855631899947,51812,16.943086,0.785927,0.398386,2.077992,3.4e-05,1.375083,0.076073,0.778152
Bump_2911,acg-cg-mpi,1,2,55407806,2,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407806-2-stderr.txt,valid,22.31845,25791.0,9.799020616395623e-07,1e-06,0.144373625725681,2911419,127729899,328.86284697835197,865.3580706447984,26.515838244416873,51584,16.858177,0.781311,0.39297,2.068579,3.3e-05,1.367793,0.075343,0.774242
Bump_2911,acg-cg-mpi,1,2,55407806,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407806-3-stderr.txt,valid,21.916198,25291.0,9.947340612952543e-07,1e-06,0.144501799558088,2911419,127729899,328.406506144177,866.5611482345499,26.49159813379725,50584,16.550884,0.767982,0.391031,2.032004,3.4e-05,1.340051,0.074936,0.759275
Bump_2911,acg-cg-mpi,1,2,55407812,1,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407812-1-stderr.txt,valid,22.340874,25822.0,9.887061426859908e-07,1e-06,0.144357772781134,2911419,127729899,328.9276328567987,865.1875919758346,26.27810479030322,51646,16.883298,0.782309,0.398363,2.066379,3.4e-05,1.357159,0.076863,0.776466
Bump_2911,acg-cg-mpi,1,2,55407812,2,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407812-2-stderr.txt,valid,22.047493,25471.0,9.917802298155518e-07,1e-06,0.144453174175241,2911419,127729899,328.77413005569383,865.591967335401,26.440503297738694,50944,16.654786,0.772198,0.391404,2.039482,3.4e-05,1.346985,0.075164,0.767441
Bump_2911,acg-cg-mpi,1,2,55407812,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407812-3-stderr.txt,valid,21.904095,25326.0,9.966564893948247e-07,1e-06,0.144467951738792,2911419,127729899,329.04267913027223,864.8856905946459,26.215619694397283,50654,16.560574,0.765591,0.388617,2.027226,3.4e-05,1.327926,0.074527,0.759599
Bump_2911,acg-cg-mpi,1,2,55407822,1,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407822-1-stderr.txt,valid,21.619598,24920.0,9.728419114711717e-07,1e-06,0.144590207847515,2911419,127729899,328.0285352019959,867.5601123595505,26.980859516070787,49842,16.301566,0.756524,0.384304,2.003305,3.5e-05,1.34478,0.074656,0.754427
Bump_2911,acg-cg-mpi,1,2,55407822,2,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407822-2-stderr.txt,valid,22.031344,25436.0,9.84732935223184e-07,1e-06,0.144453360432554,2911419,127729899,328.56303462031184,866.1481364994496,26.633113181585877,50874,16.629825,0.771078,0.389951,2.042045,3.4e-05,1.354933,0.074847,0.768631
Bump_2911,acg-cg-mpi,1,2,55407822,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407822-3-stderr.txt,valid,22.376974,25813.0,9.90537994766258e-07,1e-06,0.144375735442062,2911419,127729899,328.2825298398255,866.8877697284314,26.710021693654603,51628,16.884083,0.784319,0.396739,2.075344,3.4e-05,1.378985,0.077139,0.780328
Bump_2911,acg-cg-mpi,1,4,55407807,1,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0004-procs-55407807-1-stderr.txt,valid,12.452622,25357.0,9.123179014845229e-07,1e-06,0.144474867640002,2911419,127729899,579.4927282263928,491.0920850258311,27.86262717879959,50716,8.510708,0.382823,0.350636,0.931878,2.4e-05,1.413081,0.075326,0.788147
