side,matrix,ranks,step_us,iteration_us,step_normalized,iteration_normalized,absolute_relative_error
512,Bump_2911,2,38.803333333333335,931.9428725618689,1.0,1.0,0.0
512,Bump_2911,4,52.7177,520.5976871814975,1.3585868911605532,0.558615450054785,1.4320610735476667
512,Bump_2911,8,95.34400000000001,349.53977361436375,2.4571084958336913,0.3750656654023167,5.55114216652718
512,Bump_2911,16,116.85833333333333,264.6542625962553,3.0115539902070267,0.28398120784885955,9.604765058291589
512,Bump_2911,32,137.70533333333333,244.5699415702511,3.5488016493428396,0.2624301861957905,12.522840877364603
512,Queen_4147,2,38.803333333333335,2037.2870111731843,1.0,1.0,0.0
512,Queen_4147,4,52.7177,1094.9338088663906,1.3585868911605532,0.5374470081345417,1.5278527382190794
512,Queen_4147,8,95.34400000000001,638.5829157175399,2.4571084958336913,0.3134476940241267,6.838974548795253
512,Queen_4147,16,116.85833333333333,417.77552045112196,3.0115539902070267,0.20506463652882337,13.685876810279428
512,Queen_4147,32,137.70533333333333,335.10828729281764,3.5488016493428396,0.16448751965479988,20.574899158249192
1024,Bump_2911,2,46.309,931.9428725618689,1.0,1.0,0.0
1024,Bump_2911,4,56.272666666666666,520.5976871814975,1.2151561611493806,0.558615450054785,1.175299951031084
1024,Bump_2911,8,97.63296666666666,349.53977361436375,2.108293564245971,0.3750656654023167,4.6211318676277555
1024,Bump_2911,16,117.87,264.6542625962553,2.545293571443996,0.28398120784885955,7.962894378555683
1024,Bump_2911,32,142.81066666666666,244.5699415702511,3.0838641876669044,0.2624301861957905,10.75117936076963
1024,Queen_4147,2,46.309,2037.2870111731843,1.0,1.0,0.0
1024,Queen_4147,4,56.272666666666666,1094.9338088663906,1.2151561611493806,0.5374470081345417,1.2609785574342331
1024,Queen_4147,8,97.63296666666666,638.5829157175399,2.108293564245971,0.3134476940241267,5.726141568244211
1024,Queen_4147,16,117.87,417.77552045112196,2.545293571443996,0.20506463652882337,11.412152648690531
1024,Queen_4147,32,142.81066666666666,335.10828729281764,3.0838641876669044,0.16448751965479988,17.74831716192709
2048,Bump_2911,2,69.25723333333333,931.9428725618689,1.0,1.0,0.0
2048,Bump_2911,4,72.50696666666666,520.5976871814975,1.0469226559728777,0.558615450054785,0.8741383824421667
2048,Bump_2911,8,106.506,349.53977361436375,1.537832149421697,0.3750656654023167,3.1001677606830027
2048,Bump_2911,16,125.721,264.6542625962553,1.815276093904993,0.28398120784885955,5.392240203693756
2048,Bump_2911,32,146.16233333333335,244.5699415702511,2.1104269734521113,0.2624301861957905,7.041860595555084
2048,Queen_4147,2,69.25723333333333,2037.2870111731843,1.0,1.0,0.0
2048,Queen_4147,4,72.50696666666666,1094.9338088663906,1.0469226559728777,0.5374470081345417,0.9479551288353185
2048,Queen_4147,8,106.506,638.5829157175399,1.537832149421697,0.3134476940241267,3.906184281270632
2048,Queen_4147,16,125.721,417.77552045112196,1.815276093904993,0.20506463652882337,7.852214231730015
2048,Queen_4147,32,146.16233333333335,335.10828729281764,2.1104269734521113,0.16448751965479988,11.830316718746433
4096,Bump_2911,2,256.822,931.9428725618689,1.0,1.0,0.0
4096,Bump_2911,4,169.13333333333333,520.5976871814975,0.6585624803690234,0.558615450054785,0.17891920158032937
4096,Bump_2911,8,130.827,349.53977361436375,0.5094072937676679,0.3750656654023167,0.35818162193345215
4096,Bump_2911,16,142.10333333333332,264.6542625962553,0.5533144875958186,0.28398120784885955,0.9484193753070576
4096,Bump_2911,32,155.954,244.5699415702511,0.6072454851998661,0.2624301861957905,1.3139315411940466
4096,Queen_4147,2,256.822,2037.2870111731843,1.0,1.0,0.0
4096,Queen_4147,4,169.13333333333333,1094.9338088663906,0.6585624803690234,0.5374470081345417,0.2253533286097711
4096,Queen_4147,8,130.827,638.5829157175399,0.5094072937676679,0.3134476940241267,0.6251748010258382
4096,Queen_4147,16,142.10333333333332,417.77552045112196,0.5533144875958186,0.20506463652882337,1.6982443046343882
4096,Queen_4147,32,155.954,335.10828729281764,0.6072454851998661,0.16448751965479988,2.6917420025194367
8192,Bump_2911,2,909.4376666666666,931.9428725618689,1.0,1.0,0.0
8192,Bump_2911,4,493.6603333333333,520.5976871814975,0.5428193172850769,0.558615450054785,0.02827729302538784
8192,Bump_2911,8,324.377,349.53977361436375,0.3566786508732686,0.3750656654023167,0.04902345435785249
8192,Bump_2911,16,239.78933333333333,264.6542625962553,0.26366769501886334,0.28398120784885955,0.0715311868129227
8192,Bump_2911,32,178.875,244.5699415702511,0.19668747684008397,0.2624301861957905,0.2505150429099573
8192,Queen_4147,2,909.4376666666666,2037.2870111731843,1.0,1.0,0.0
8192,Queen_4147,4,493.6603333333333,1094.9338088663906,0.5428193172850769,0.5374470081345417,0.009995979267206856
8192,Queen_4147,8,324.377,638.5829157175399,0.3566786508732686,0.3134476940241267,0.13792080041850396
8192,Queen_4147,16,239.78933333333333,417.77552045112196,0.26366769501886334,0.20506463652882337,0.28577847200778983
8192,Queen_4147,32,178.875,335.10828729281764,0.19668747684008397,0.16448751965479988,0.19575927251417147
