topology,side,job,trial_count,mean_us
1n1g,256,58067735,3,22.214966666666665
1n1g,256,58067737,3,20.9167
1n1g,256,58067738,3,21.482666666666667
1n1g,512,58057763,3,25.905
1n1g,512,58057769,3,26.458133333333333
1n1g,512,58057778,3,27.071466666666666
1n1g,1024,58057763,3,36.7376
1n1g,1024,58057769,3,36.702333333333335
1n1g,1024,58057778,3,36.958933333333334
1n1g,2048,58057763,3,133.134
1n1g,2048,58057769,3,132.908
1n1g,2048,58057778,3,133.07466666666667
1n1g,4096,58057763,3,455.71433333333334
1n1g,4096,58057769,3,456.1333333333333
1n1g,4096,58057778,3,456.133
1n1g,8192,58057763,3,1778.07
1n1g,8192,58057769,3,1779.6233333333334
1n1g,8192,58057778,3,1778.7033333333334
1n1g,16384,58067735,3,7555.6033333333335
1n1g,16384,58067737,3,7557.763333333333
1n1g,16384,58067738,3,7549.01
1n2g,256,58067739,3,38.88303333333334
1n2g,256,58067740,3,39.52256666666667
1n2g,256,58067741,3,39.1747
1n2g,512,58057780,3,40.064099999999996
1n2g,512,58057787,3,38.803333333333335
1n2g,512,58057788,3,38.458
1n2g,1024,58057780,3,46.309
1n2g,1024,58057787,3,46.067933333333336
1n2g,1024,58057788,3,46.541333333333334
1n2g,2048,58057780,3,69.22636666666666
1n2g,2048,58057787,3,69.25723333333333
1n2g,2048,58057788,3,69.6456
1n2g,4096,58057780,3,256.822
1n2g,4096,58057787,3,256.743
1n2g,4096,58057788,3,257.308
1n2g,8192,58057780,3,909.4376666666666
1n2g,8192,58057787,3,909.1663333333333
1n2g,8192,58057788,3,910.049
1n2g,16384,58067739,3,3629.943333333333
1n2g,16384,58067740,3,3629.8633333333332
1n2g,16384,58067741,3,3629.9566666666665
1n4g,256,58067742,3,52.53006666666667
1n4g,256,58067766,3,52.40996666666667
1n4g,256,58067767,3,50.79626666666667
1n4g,512,58057790,3,52.7177
1n4g,512,58057795,3,52.75906666666667
1n4g,512,58057796,3,51.847033333333336
1n4g,1024,58057790,3,55.89353333333333
1n4g,1024,58057795,3,56.48806666666667
1n4g,1024,58057796,3,56.272666666666666
1n4g,2048,58057790,3,72.67766666666667
1n4g,2048,58057795,3,72.50696666666666
1n4g,2048,58057796,3,71.56793333333333
1n4g,4096,58057790,3,169.25
1n4g,4096,58057795,3,169.124
1n4g,4096,58057796,3,169.13333333333333
1n4g,8192,58057790,3,494.3183333333333
1n4g,8192,58057795,3,493.65366666666665
1n4g,8192,58057796,3,493.6603333333333
1n4g,16384,58067742,3,1810.68
1n4g,16384,58067766,3,1810.1266666666668
1n4g,16384,58067767,3,1810.18
2n1g,256,58067768,3,56.8315
2n1g,256,58067769,3,55.6954
2n1g,256,58067770,3,56.0579
2n1g,512,58057801,3,57.03223333333333
2n1g,512,58057806,3,57.797599999999996
2n1g,512,58057807,3,57.62923333333333
2n1g,1024,58057801,3,68.10263333333333
2n1g,1024,58057806,3,66.8288
2n1g,1024,58057807,3,65.91776666666667
2n1g,2048,58057801,3,87.73283333333333
2n1g,2048,58057806,3,87.71733333333333
2n1g,2048,58057807,3,87.781
2n1g,4096,58057801,3,278.8333333333333
2n1g,4096,58057806,3,279.02366666666666
2n1g,4096,58057807,3,278.883
2n1g,8192,58057801,3,930.97
2n1g,8192,58057806,3,931.2516666666667
2n1g,8192,58057807,3,931.222
2n1g,16384,58067768,3,3656.5266666666666
2n1g,16384,58067769,3,3652.7400000000002
2n1g,16384,58067770,3,3654.5366666666664
2n4g,256,58067787,3,93.32896666666667
2n4g,256,58067788,3,93.39943333333333
2n4g,256,58067789,3,93.40716666666667
2n4g,512,58057810,3,96.49733333333333
2n4g,512,58057814,3,95.34400000000001
2n4g,512,58057817,3,95.2141
2n4g,1024,58057810,3,97.63296666666666
2n4g,1024,58057814,3,97.80333333333333
2n4g,1024,58057817,3,97.32543333333334
