topology,side,backend,median_us,runner_up,runner_up_ratio
1n1g,512,cuda_nccl,39.5177,oshmpi,1.3817951618304374
1n1g,1024,cuda_nccl,55.879733333333334,oshmpi,1.2616422650549515
1n1g,2048,cuda_nccl,97.01493333333333,oshmpi,1.1471051879298306
1n1g,4096,cuda_nccl,261.859,oshmpi,1.050320974264776
1n1g,8192,cuda_nccl,922.2166666666667,oshmpi,1.0124518822402544
1n2g,512,cuda_nccl,58.240833333333335,oshmpi,1.094730215055302
1n2g,1024,cuda_nccl,68.78699999999999,oshmpi,1.0681485358182992
1n2g,2048,cuda_nccl,87.65663333333333,oshmpi,1.0263475021285706
1n2g,4096,oshmpi,178.67566666666667,cuda_nccl,1.014062724452313
1n2g,8192,oshmpi,506.76633333333336,cuda_nccl,1.009471163238284
1n4g,512,oshmpi,67.31533333333333,cuda_nccl,1.001436522634764
1n4g,1024,cuda_nccl,69.77316666666667,oshmpi,1.012958181153691
1n4g,2048,cuda_nccl,86.36903333333333,oshmpi,1.0230591905818096
1n4g,4096,oshmpi,128.81833333333333,cuda_nccl,1.0168506035631575
1n4g,8192,oshmpi,292.5876666666667,cuda_nccl,1.0202571764815787
2n1g,512,oshmpi,65.792,cuda_nccl,1.2096268036640725
2n1g,1024,oshmpi,75.67306666666667,cuda_nccl,1.172014085152269
2n1g,2048,oshmpi,92.33496666666667,cuda_nccl,1.1612827065514002
2n1g,4096,oshmpi,181.80333333333334,cuda_nccl,1.101917823288902
2n1g,8192,oshmpi,511.431,cuda_nccl,1.0365353944781084
2n4g,512,oshmpi,77.59183333333334,cuda_nccl,1.1721817802990435
2n4g,1024,oshmpi,78.7059,cuda_nccl,1.1645619959875944
2n4g,2048,oshmpi,88.85536666666667,cuda_nccl,1.1237434167360365
2n4g,4096,oshmpi,106.66433333333333,cuda_nccl,1.1680943020628576
2n4g,8192,oshmpi,198.19933333333333,cuda_nccl,1.0910884328571573
4n4g,512,oshmpi,89.01166666666667,cuda_nccl,1.2158630891081692
4n4g,1024,oshmpi,89.437,cuda_nccl,1.2108709669003508
4n4g,2048,oshmpi,93.94933333333333,cuda_nccl,1.2106773863926656
4n4g,4096,oshmpi,111.23033333333333,cuda_mpi,1.1781258709404807
4n4g,8192,oshmpi,154.21033333333332,cuda_mpi,1.1403472746097862
8n4g,512,oshmpi,101.16,cuda_mpi,1.143057203110584
8n4g,1024,oshmpi,101.36933333333333,cuda_mpi,1.1247024083549266
8n4g,2048,oshmpi,103.95066666666666,cuda_mpi,1.1264381822146403
8n4g,4096,oshmpi,114.095,cuda_mpi,1.1063996377287932
8n4g,8192,oshmpi,133.53633333333335,cuda_mpi,1.1011759596015065
