matrix,ranks,src_rank,dst_rank,elements,bytes
Bump_2911,2,0,1,31809,254472
Bump_2911,2,1,0,31824,254592
Bump_2911,4,0,1,20479,163832
Bump_2911,4,0,2,9156,73248
Bump_2911,4,0,3,10764,86112
Bump_2911,4,1,0,20474,163792
Bump_2911,4,1,2,7269,58152
Bump_2911,4,1,3,5199,41592
Bump_2911,4,2,0,9171,73368
Bump_2911,4,2,1,7176,57408
Bump_2911,4,2,3,19705,157640
Bump_2911,4,3,0,10782,86256
Bump_2911,4,3,1,5244,41952
Bump_2911,4,3,2,19328,154624
Bump_2911,8,0,1,8955,71640
Bump_2911,8,0,2,4615,36920
Bump_2911,8,0,3,2529,20232
Bump_2911,8,0,4,402,3216
Bump_2911,8,0,5,1734,13872
Bump_2911,8,0,6,6795,54360
Bump_2911,8,0,7,2268,18144
Bump_2911,8,1,0,8718,69744
Bump_2911,8,1,2,5811,46488
Bump_2911,8,1,3,7914,63312
Bump_2911,8,1,4,5313,42504
Bump_2911,8,1,5,9,72
Bump_2911,8,1,7,3975,31800
Bump_2911,8,2,0,4508,36064
Bump_2911,8,2,1,5967,47736
Bump_2911,8,2,3,15669,125352
Bump_2911,8,2,4,2832,22656
Bump_2911,8,2,5,4146,33168
Bump_2911,8,3,0,2457,19656
Bump_2911,8,3,1,7923,63384
Bump_2911,8,3,2,15639,125112
Bump_2911,8,3,4,1296,10368
Bump_2911,8,3,5,4194,33552
Bump_2911,8,4,0,384,3072
Bump_2911,8,4,1,5307,42456
Bump_2911,8,4,2,2889,23112
Bump_2911,8,4,3,1350,10800
Bump_2911,8,4,5,10365,82920
Bump_2911,8,4,6,735,5880
Bump_2911,8,4,7,13221,105768
Bump_2911,8,5,0,1680,13440
Bump_2911,8,5,1,12,96
Bump_2911,8,5,2,4185,33480
Bump_2911,8,5,3,4263,34104
Bump_2911,8,5,4,10356,82848
Bump_2911,8,5,6,7754,62032
Bump_2911,8,5,7,597,4776
Bump_2911,8,6,0,6633,53064
Bump_2911,8,6,4,717,5736
Bump_2911,8,6,5,7816,62528
Bump_2911,8,6,7,8721,69768
Bump_2911,8,7,0,2235,17880
Bump_2911,8,7,1,3891,31128
Bump_2911,8,7,4,13338,106704
Bump_2911,8,7,5,621,4968
Bump_2911,8,7,6,8892,71136
Bump_2911,16,0,1,7647,61176
Bump_2911,16,0,2,189,1512
Bump_2911,16,0,3,4239,33912
Bump_2911,16,0,4,429,3432
Bump_2911,16,0,6,1816,14528
Bump_2911,16,0,7,1981,15848
Bump_2911,16,0,9,2793,22344
Bump_2911,16,0,11,552,4416
Bump_2911,16,0,12,1866,14928
Bump_2911,16,0,13,588,4704
Bump_2911,16,0,14,21,168
Bump_2911,16,1,0,7722,61776
Bump_2911,16,1,2,3567,28536
Bump_2911,16,1,3,1164,9312
Bump_2911,16,1,4,2127,17016
Bump_2911,16,1,5,933,7464
Bump_2911,16,1,6,63,504
Bump_2911,16,1,7,30,240
Bump_2911,16,1,9,1773,14184
Bump_2911,16,1,11,804,6432
Bump_2911,16,1,12,2253,18024
Bump_2911,16,1,13,381,3048
Bump_2911,16,1,15,225,1800
