topology,ranks,routing,hidden,backend,tokens_per_rank,useful_bytes,job,trial_count,mean_us
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,57912126,3,65.48963333333333
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,57912127,3,65.77166666666666
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,57912128,3,65.46363333333333
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,57912129,3,65.50556666666667
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,57912130,3,65.693
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,57912164,3,82.40333333333334
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,57912166,3,81.6454
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,57912168,3,82.55986666666666
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,57912170,3,82.8981
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,57912173,3,82.56516666666667
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,57912230,3,84.71993333333333
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,57912231,3,83.98813333333334
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,57912232,3,84.15546666666667
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,57912233,3,82.68443333333333
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,57912235,3,84.20053333333334
1n1g,1,hotspot80,256,oshmpi,16384,33554432,57912316,3,69.66373333333334
1n1g,1,hotspot80,256,oshmpi,16384,33554432,57912317,3,69.99616666666667
1n1g,1,hotspot80,256,oshmpi,16384,33554432,57912318,3,70.4298
1n1g,1,hotspot80,256,oshmpi,16384,33554432,57912319,3,69.60146666666667
1n1g,1,hotspot80,256,oshmpi,16384,33554432,57912320,3,69.65663333333333
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,57912352,3,65.66343333333333
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,57912356,3,66.04576666666667
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,57912357,3,65.79723333333334
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,57912358,3,65.85896666666667
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,57912359,3,66.28496666666666
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,57912441,3,79.05556666666666
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,57912445,3,79.21506666666667
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,57912453,3,79.16443333333333
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,57912454,3,79.0802
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,57912455,3,86.69416666666666
1n1g,1,locality80,256,cuda_mpi,16384,33554432,57912126,3,65.43066666666667
1n1g,1,locality80,256,cuda_mpi,16384,33554432,57912127,3,65.58253333333333
1n1g,1,locality80,256,cuda_mpi,16384,33554432,57912128,3,65.3064
1n1g,1,locality80,256,cuda_mpi,16384,33554432,57912129,3,65.44636666666666
1n1g,1,locality80,256,cuda_mpi,16384,33554432,57912130,3,65.4701
1n1g,1,locality80,256,cuda_nccl,16384,33554432,57912164,3,82.38363333333334
1n1g,1,locality80,256,cuda_nccl,16384,33554432,57912166,3,81.67626666666666
1n1g,1,locality80,256,cuda_nccl,16384,33554432,57912168,3,82.6689
1n1g,1,locality80,256,cuda_nccl,16384,33554432,57912170,3,82.89843333333333
1n1g,1,locality80,256,cuda_nccl,16384,33554432,57912173,3,82.37266666666666
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,57912230,3,84.49993333333333
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,57912231,3,84.1918
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,57912232,3,84.0286
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,57912233,3,82.71906666666666
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,57912235,3,84.16466666666666
1n1g,1,locality80,256,oshmpi,16384,33554432,57912316,3,69.6871
1n1g,1,locality80,256,oshmpi,16384,33554432,57912317,3,69.9598
1n1g,1,locality80,256,oshmpi,16384,33554432,57912318,3,70.32176666666666
1n1g,1,locality80,256,oshmpi,16384,33554432,57912319,3,69.7188
