topology,ranks,routing,hidden,backend,tokens_per_rank,useful_bytes,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us,useful_gbytes_per_s
1n1g,1,uniform,256,cuda_mpi,16384,33554432,65.53756666666666,65.37416666666667,65.7038,5,15,65.53989333333332,511.98776070925226
1n1g,1,uniform,256,cuda_nccl,16384,33554432,84.70423333333333,84.1966,85.05453333333334,5,15,84.70561333333333,396.13642293360385
1n1g,1,uniform,256,cuda_nvshmem,16384,33554432,83.9924,82.75936666666666,84.6991,5,15,83.91727333333333,399.49366847476676
1n1g,1,uniform,256,oshmpi,16384,33554432,69.88123333333333,69.62373333333333,70.4628,5,15,69.99145999999999,480.1637063264959
1n1g,1,uniform,256,sycl_mpi,16384,33554432,65.8686,65.68113333333334,66.33573333333334,5,15,65.97052666666667,509.4146831722551
1n1g,1,uniform,256,sycl_oneccl,16384,33554432,79.15213333333334,79.0709,79.37033333333333,5,15,79.19038,423.9232802316551
1n2g,2,uniform,256,cuda_mpi,16384,33554432,253.21866666666665,253.093,253.37433333333334,5,15,253.23033333333333,132.51168423602263
1n2g,2,uniform,256,cuda_nccl,16384,33554432,378.21733333333333,377.77166666666665,378.48766666666666,5,15,378.1840666666667,88.71733007124651
1n2g,2,uniform,256,cuda_nvshmem,16384,33554432,295.685,295.3496666666667,296.98633333333333,5,15,295.9726,113.48033211018483
1n2g,2,uniform,256,oshmpi,16384,33554432,247.56266666666667,246.78833333333333,251.022,5,15,248.08453333333333,135.5391442974708
1n2g,2,uniform,256,sycl_mpi,16384,33554432,253.77933333333334,253.359,256.71166666666664,5,15,254.3254,132.2189303568192
1n2g,2,uniform,256,sycl_oneccl,16384,33554432,412.837,412.5883333333333,415.84666666666664,5,15,413.4868666666667,81.27767617728063
2n1g,2,uniform,256,cuda_mpi,16384,33554432,1743.38,1183.0733333333333,2093.92,5,15,1703.4173333333333,19.246768920143627
2n1g,2,uniform,256,cuda_nccl,16384,33554432,1610.5666666666666,1605.9433333333334,1803.35,5,15,1647.7606666666666,20.833929258852994
2n1g,2,uniform,256,cuda_nvshmem,16384,33554432,1661.2,1657.0900000000001,1663.94,5,15,1660.6733333333332,20.19891163014688
2n1g,2,uniform,256,oshmpi,16384,33554432,1820.94,1427.9466666666667,2560.3533333333335,5,15,1821.3120000000001,18.42698386547607
2n1g,2,uniform,256,sycl_mpi,16384,33554432,1849.3166666666666,1764.5633333333333,1957.0766666666666,5,15,1840.2973333333332,18.144232734613688
2n1g,2,uniform,256,sycl_oneccl,16384,33554432,1726.17,1705.0066666666667,1727.8333333333333,5,15,1721.4726666666668,19.43866015514115
1n4g,4,uniform,256,cuda_mpi,16384,33554432,178.879,178.761,179.137,5,15,178.9306,187.58172843095056
1n4g,4,uniform,256,cuda_nccl,16384,33554432,246.72433333333333,245.748,253.00566666666668,5,15,247.73239999999998,135.99968655976375
1n4g,4,uniform,256,cuda_nvshmem,16384,33554432,264.39133333333336,259.61266666666666,271.7406666666667,5,15,264.7724666666667,126.91199661108406
1n4g,4,uniform,256,oshmpi,16384,33554432,189.27033333333333,189.135,189.53266666666667,5,15,189.29273333333333,177.28310300434478
1n4g,4,uniform,256,sycl_mpi,16384,33554432,179.563,179.16400000000002,179.72833333333332,5,15,179.48713333333333,186.86718310565095
1n4g,4,uniform,256,sycl_oneccl,16384,33554432,300.835,299.9033333333333,305.28000000000003,5,15,301.4164666666667,111.53766017916799
2n4g,8,uniform,256,cuda_mpi,16384,33554432,2915.7066666666665,2910.2066666666665,2921.7033333333334,5,15,2915.8033333333337,11.508164515863507
