benchmark,topology,backend,bytes,on_us,off_us,off_over_on
allreduce,1n1g,cuda_mpi,4,19.9880333,19.7865,0.9899173021689932
allreduce,1n1g,cuda_mpi,8,20.0648333,19.9180333,0.9926837169387299
allreduce,1n1g,cuda_mpi,16,20.6071,20.4772,0.9936963473754192
allreduce,1n1g,cuda_mpi,32,20.5511,20.4051667,0.9928990029730768
allreduce,1n1g,cuda_mpi,64,20.6492333,20.4770667,0.991662324818617
allreduce,1n1g,cuda_mpi,128,20.6231333,20.4921,0.9936462952503925
allreduce,1n1g,cuda_mpi,256,20.5898333,20.5243667,0.9968204405035179
allreduce,1n1g,cuda_mpi,512,20.9651,20.6591,0.9854043147898173
allreduce,1n1g,cuda_mpi,1024,21.4843,21.5657,1.0037888132264026
allreduce,1n1g,cuda_mpi,2048,22.4844667,21.9795333,0.9775430119496675
allreduce,1n1g,cuda_mpi,4096,23.625,23.5130667,0.9952620825396825
allreduce,1n1g,cuda_mpi,8192,26.8722,27.0671,1.0072528486688845
allreduce,1n1g,cuda_mpi,16384,32.4400667,31.9814667,0.9858631610026867
allreduce,1n1g,cuda_mpi,32768,41.3962667,39.2884667,0.9490823649563549
allreduce,1n1g,cuda_mpi,65536,60.5303,60.3192333,0.9965130405763726
allreduce,1n1g,cuda_mpi,131072,92.9245,100.317267,1.07955670463656
allreduce,1n1g,cuda_mpi,262144,174.699333,167.96,0.9614232471053568
allreduce,1n1g,cuda_mpi,524288,320.870667,293.082333,0.913397088428778
allreduce,1n1g,cuda_mpi,1048576,534.27,529.464,0.9910045482621148
allreduce,1n1g,cuda_mpi,2097152,2382.02667,2873.50667,1.2063285042900045
allreduce,1n1g,cuda_mpi,4194304,4998.04,5571.55667,1.1147483153396132
allreduce,1n1g,cuda_mpi,8388608,10173.6,10737.3,1.055408115121491
allreduce,1n1g,cuda_mpi,16777216,21363.8,21904.6667,1.0253169707636283
allreduce,1n1g,sycl_mpi,4,19.9513,20.0797333,1.0064373399227118
allreduce,1n1g,sycl_mpi,8,20.1771333,20.0850667,0.9954370822340752
allreduce,1n1g,sycl_mpi,16,20.6077667,20.6975667,1.0043575803873983
allreduce,1n1g,sycl_mpi,32,20.6445333,20.7025667,1.002811078320671
allreduce,1n1g,sycl_mpi,64,20.4099,20.4504,1.0019843311334204
allreduce,1n1g,sycl_mpi,128,20.4098667,20.4385,1.0014029146011034
allreduce,1n1g,sycl_mpi,256,20.5485,20.7147667,1.0080914275981214
