operation,size_bytes,size_label,nccl_2_18_5_us,nccl_2_31_2_plain_us,nccl_2_31_2_symmetric_us
allreduce,4,4 B,12.6,27.7,8.2
allreduce,8,8 B,12.4,12.6,7.5
allreduce,16,16 B,12.2,12.4,7.7
allreduce,32,32 B,12.2,13.1,7.5
allreduce,64,64 B,12.3,15.1,7.9
allreduce,128,128 B,12.3,15.3,7.8
allreduce,256,256 B,12.7,14.9,7.7
allreduce,512,512 B,12.6,14.8,7.5
allreduce,1024,1 KiB,13.5,14.5,7.8
allreduce,8192,8 KiB,15.2,15.5,9.7
allreduce,16384,16 KiB,16.9,17.3,10.4
allreduce,32768,32 KiB,18.4,18.5,10.6
allreduce,65536,64 KiB,18.4,19.0,17.9
allreduce,131072,128 KiB,18.7,18.9,18.0
allreduce,262144,256 KiB,19.2,19.3,22.7
allreduce,524288,512 KiB,23.3,24.9,25.3
allreduce,1048576,1 MiB,44.5,34.1,33.5
allreduce,2097152,2 MiB,55.2,54.1,37.5
allreduce,4194304,4 MiB,81.3,82.2,54.6
allreduce,8388608,8 MiB,112.2,123.9,88.5
allreduce,16777216,16 MiB,182.0,202.1,156.4
alltoall,64,64 B,11.1,13.8,14.0
alltoall,128,128 B,11.1,12.8,12.8
alltoall,256,256 B,11.1,12.9,12.7
alltoall,512,512 B,11.0,12.6,12.8
alltoall,1024,1 KiB,11.0,12.7,12.6
alltoall,2048,2 KiB,11.0,12.9,12.7
alltoall,4096,4 KiB,11.1,13.1,13.4
alltoall,8192,8 KiB,11.3,13.2,13.2
alltoall,16384,16 KiB,12.2,14.0,13.8
alltoall,32768,32 KiB,13.8,15.1,15.0
alltoall,65536,64 KiB,16.4,17.6,17.6
alltoall,131072,128 KiB,20.5,22.9,22.9
alltoall,262144,256 KiB,23.1,25.4,24.5
alltoall,524288,512 KiB,24.1,26.4,25.4
alltoall,1048576,1 MiB,25.5,28.2,27.4
alltoall,2097152,2 MiB,30.1,33.8,34.3
alltoall,4194304,4 MiB,41.5,46.9,43.6
alltoall,8388608,8 MiB,63.9,68.1,59.6
alltoall,16777216,16 MiB,102.2,106.1,89.2
